PMCID,PMID,NCTID,PMIDs,Randomized,RCT,PMCFILE
PMC3843642,24379694,./NCT0281xxxx/NCT02813629.xml:,<PMID>24379694</PMID>,<allocation>Randomized</allocation>,True,PMC3843642.nxml
PMC4058526,24589821,./NCT0281xxxx/NCT02813629.xml:,<PMID>24589821</PMID>,<allocation>Randomized</allocation>,True,PMC4058526.nxml
PMC314457,14680499,./NCT0031xxxx/NCT00318513.xml:,<PMID>14680499</PMID>,<allocation>Non-Randomized</allocation>,False,PMC314457.nxml
PMC2119412,1402682,./NCT0031xxxx/NCT00318513.xml:,<PMID>1402682</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2119412.nxml
PMC2194262,12461084,./NCT0031xxxx/NCT00318513.xml:,<PMID>12461084</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2194262.nxml
PMC2394431,14612898,./NCT0031xxxx/NCT00318513.xml:,<PMID>14612898</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2394431.nxml
PMC2752027,19779458,./NCT0346xxxx/NCT03462212.xml:,<PMID>19779458</PMID>,<allocation>Randomized</allocation>,True,PMC2752027.nxml
PMC3163504,21720365,./NCT0346xxxx/NCT03462212.xml:,<PMID>21720365</PMID>,<allocation>Randomized</allocation>,True,PMC3163504.nxml
PMC3493866,23047548,./NCT0346xxxx/NCT03462212.xml:,<PMID>23047548</PMID>,<allocation>Randomized</allocation>,True,PMC3493866.nxml
PMC3178290,21873552,./NCT0241xxxx/NCT02417428.xml:,<PMID>21873552</PMID>,<allocation>Randomized</allocation>,True,PMC3178290.nxml
PMC4038114,24885497,./NCT0241xxxx/NCT02417428.xml:,<PMID>24885497</PMID>,<allocation>Randomized</allocation>,True,PMC4038114.nxml
PMC4133187,25121500,./NCT0241xxxx/NCT02417428.xml:,<PMID>25121500</PMID>,<allocation>Randomized</allocation>,True,PMC4133187.nxml
PMC1824720,17356959,./NCT0247xxxx/NCT02478593.xml:,<PMID>17356959</PMID>,<allocation>Randomized</allocation>,True,PMC1824720.nxml
PMC3293137,22371848,./NCT0247xxxx/NCT02478593.xml:,<PMID>22371848</PMID>,<allocation>Randomized</allocation>,True,PMC3293137.nxml
PMC3412800,22880108,./NCT0045xxxx/NCT00458133.xml:,<PMID>22880108</PMID>,<allocation>Randomized</allocation>,True,PMC3412800.nxml
PMC2193941,12163558,./NCT0072xxxx/NCT00721305.xml:,<PMID>12163558</PMID>,<allocation>Randomized</allocation>,True,PMC2193941.nxml
PMC2211926,15314078,./NCT0072xxxx/NCT00721305.xml:,<PMID>15314078</PMID>,<allocation>Randomized</allocation>,True,PMC2211926.nxml
PMC2704594,19255255,./NCT0178xxxx/NCT01786252.xml:,<PMID>19255255</PMID>,<allocation>Non-Randomized</allocation>,False,PMC2704594.nxml
PMC3093391,21589865,./NCT0248xxxx/NCT02484248.xml:,<PMID>21589865</PMID>,<allocation>Randomized</allocation>,True,PMC3093391.nxml
PMC3263570,22389770,./NCT0248xxxx/NCT02484248.xml:,<PMID>22389770</PMID>,<allocation>Randomized</allocation>,True,PMC3263570.nxml
PMC1241060,12417475,./NCT0289xxxx/NCT02898129.xml:,<PMID>12417475</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1241060.nxml
PMC1241209,12194890,./NCT0289xxxx/NCT02898129.xml:,<PMID>12194890</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1241209.nxml
PMC1241926,15064166,./NCT0289xxxx/NCT02898129.xml:,<PMID>15064166</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1241926.nxml
PMC1939729,17684553,./NCT0224xxxx/NCT02246361.xml:,<PMID>17684553</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1939729.nxml
PMC3480504,23110157,./NCT0224xxxx/NCT02246361.xml:,<PMID>23110157</PMID>,<allocation>Non-Randomized</allocation>,False,PMC3480504.nxml
PMC2891919,20016520,./NCT0318xxxx/NCT03186742.xml:,<PMID>20016520</PMID>,<allocation>Randomized</allocation>,True,PMC2891919.nxml
PMC3220807,21479777,./NCT0274xxxx/NCT02745236.xml:,<PMID>21479777</PMID>,<allocation>Randomized</allocation>,True,PMC3220807.nxml
PMC3708764,23815754,./NCT0274xxxx/NCT02745236.xml:,<PMID>23815754</PMID>,<allocation>Randomized</allocation>,True,PMC3708764.nxml
PMC2954140,20967242,./NCT0272xxxx/NCT02721381.xml:,<PMID>20967242</PMID>,<allocation>Randomized</allocation>,True,PMC2954140.nxml
PMC3366107,22674020,./NCT0272xxxx/NCT02721381.xml:,<PMID>22674020</PMID>,<allocation>Randomized</allocation>,True,PMC3366107.nxml
PMC2490678,18625061,./NCT0244xxxx/NCT02440321.xml:,<PMID>18625061</PMID>,<allocation>Randomized</allocation>,True,PMC2490678.nxml
PMC3083673,21556182,./NCT0244xxxx/NCT02440321.xml:,<PMID>21556182</PMID>,<allocation>Randomized</allocation>,True,PMC3083673.nxml
PMC3503469,22448041,./NCT0244xxxx/NCT02440321.xml:,<PMID>22448041</PMID>,<allocation>Randomized</allocation>,True,PMC3503469.nxml
PMC3564137,23296207,./NCT0244xxxx/NCT02440321.xml:,<PMID>23296207</PMID>,<allocation>Randomized</allocation>,True,PMC3564137.nxml
PMC1891316,17564486,./NCT0238xxxx/NCT02384265.xml:,<PMID>17564486</PMID>,<allocation>Randomized</allocation>,True,PMC1891316.nxml
PMC2628695,19017771,./NCT0238xxxx/NCT02384265.xml:,<PMID>19017771</PMID>,<allocation>Randomized</allocation>,True,PMC2628695.nxml
PMC2646017,19073759,./NCT0238xxxx/NCT02384265.xml:,<PMID>19073759</PMID>,<allocation>Randomized</allocation>,True,PMC2646017.nxml
PMC2809296,20103557,./NCT0287xxxx/NCT02874963.xml:,<PMID>20103557</PMID>,<allocation>Randomized</allocation>,True,PMC2809296.nxml
PMC3019749,21228954,./NCT0287xxxx/NCT02874963.xml:,<PMID>21228954</PMID>,<allocation>Randomized</allocation>,True,PMC3019749.nxml
PMC4025114,24843701,./NCT0287xxxx/NCT02874963.xml:,<PMID>24843701</PMID>,<allocation>Randomized</allocation>,True,PMC4025114.nxml
PMC4177914,25255331,./NCT0287xxxx/NCT02874963.xml:,<PMID>25255331</PMID>,<allocation>Randomized</allocation>,True,PMC4177914.nxml
PMC1166573,15921524,./NCT0287xxxx/NCT02879409.xml:,<PMID>15921524</PMID>,<allocation>Randomized</allocation>,True,PMC1166573.nxml
PMC2646013,19246588,./NCT0287xxxx/NCT02879409.xml:,<PMID>19246588</PMID>,<allocation>Randomized</allocation>,True,PMC2646013.nxml
PMC2744825,19672575,./NCT0287xxxx/NCT02879409.xml:,<PMID>19672575</PMID>,<allocation>Randomized</allocation>,True,PMC2744825.nxml
PMC2752912,19549736,./NCT0287xxxx/NCT02879409.xml:,<PMID>19549736</PMID>,<allocation>Randomized</allocation>,True,PMC2752912.nxml
PMC2768180,19651819,./NCT0287xxxx/NCT02879409.xml:,<PMID>19651819</PMID>,<allocation>Randomized</allocation>,True,PMC2768180.nxml
PMC3378935,22700835,./NCT0325xxxx/NCT03256747.xml:,<PMID>22700835</PMID>,<allocation>Randomized</allocation>,True,PMC3378935.nxml
PMC4396731,25918732,./NCT0325xxxx/NCT03256747.xml:,<PMID>25918732</PMID>,<allocation>Randomized</allocation>,True,PMC4396731.nxml
PMC2361370,16508637,./NCT0211xxxx/NCT02119026.xml:,<PMID>16508637</PMID>,<allocation>Randomized</allocation>,True,PMC2361370.nxml
PMC2361413,16622455,./NCT0211xxxx/NCT02119026.xml:,<PMID>16622455</PMID>,<allocation>Randomized</allocation>,True,PMC2361413.nxml
PMC2733179,19718271,./NCT0278xxxx/NCT02783430.xml:,<PMID>19718271</PMID>,<allocation>Randomized</allocation>,True,PMC2733179.nxml
PMC3172695,21677641,./NCT0278xxxx/NCT02783430.xml:,<PMID>21677641</PMID>,<allocation>Randomized</allocation>,True,PMC3172695.nxml
PMC3361845,22661809,./NCT0278xxxx/NCT02783430.xml:,<PMID>22661809</PMID>,<allocation>Randomized</allocation>,True,PMC3361845.nxml
PMC3498782,23162195,./NCT0278xxxx/NCT02783430.xml:,<PMID>23162195</PMID>,<allocation>Randomized</allocation>,True,PMC3498782.nxml
PMC1762358,17183634,./NCT0346xxxx/NCT03460002.xml:,<PMID>17183634</PMID>,<allocation>Randomized</allocation>,True,PMC1762358.nxml
PMC4017359,24436454,./NCT0346xxxx/NCT03460002.xml:,<PMID>24436454</PMID>,<allocation>Randomized</allocation>,True,PMC4017359.nxml
PMC4614411,26219694,./NCT0346xxxx/NCT03460002.xml:,<PMID>26219694</PMID>,<allocation>Randomized</allocation>,True,PMC4614411.nxml
PMC4751340,26885538,./NCT0346xxxx/NCT03460002.xml:,<PMID>26885538</PMID>,<allocation>Randomized</allocation>,True,PMC4751340.nxml
PMC5006692,27498365,./NCT0346xxxx/NCT03460002.xml:,<PMID>27498365</PMID>,<allocation>Randomized</allocation>,True,PMC5006692.nxml
PMC2391269,18495054,./NCT0166xxxx/NCT01661907.xml:,<PMID>18495054</PMID>,<allocation>Randomized</allocation>,True,PMC2391269.nxml
PMC3219980,21192800,./NCT0166xxxx/NCT01661907.xml:,<PMID>21192800</PMID>,<allocation>Randomized</allocation>,True,PMC3219980.nxml
PMC4760037,26955307,./NCT0349xxxx/NCT03491319.xml:,<PMID>26955307</PMID>,<allocation>Randomized</allocation>,True,PMC4760037.nxml
PMC2935460,20838660,./NCT0211xxxx/NCT02116127.xml:,<PMID>20838660</PMID>,<allocation>Randomized</allocation>,True,PMC2935460.nxml
PMC3404910,22515528,./NCT0211xxxx/NCT02116127.xml:,<PMID>22515528</PMID>,<allocation>Randomized</allocation>,True,PMC3404910.nxml
PMC3421236,22912618,./NCT0211xxxx/NCT02116127.xml:,<PMID>22912618</PMID>,<allocation>Randomized</allocation>,True,PMC3421236.nxml
PMC3054629,10895973,./NCT0124xxxx/NCT01245153.xml:,<PMID>10895973</PMID>,<allocation>Randomized</allocation>,True,PMC3054629.nxml
PMC2963774,20941903,./NCT0019xxxx/NCT00198822.xml:,<PMID>20941903</PMID>,<allocation>Randomized</allocation>,True,PMC2963774.nxml
PMC3110135,21510905,./NCT0019xxxx/NCT00198822.xml:,<PMID>21510905</PMID>,<allocation>Randomized</allocation>,True,PMC3110135.nxml
PMC1414018,16356219,./NCT0229xxxx/NCT02293473.xml:,<PMID>16356219</PMID>,<allocation>Randomized</allocation>,True,PMC1414018.nxml
PMC3493988,22998715,./NCT0229xxxx/NCT02293473.xml:,<PMID>22998715</PMID>,<allocation>Randomized</allocation>,True,PMC3493988.nxml
PMC1550955,16696864,./NCT0262xxxx/NCT02629250.xml:,<PMID>16696864</PMID>,  the clinical teams who are blind to study arm allocation.,False,PMC1550955.nxml
PMC2556743,17822565,./NCT0262xxxx/NCT02629250.xml:,<PMID>17822565</PMID>,  the clinical teams who are blind to study arm allocation.,False,PMC2556743.nxml
PMC3219255,20920151,./NCT0262xxxx/NCT02629250.xml:,<PMID>20920151</PMID>,  the clinical teams who are blind to study arm allocation.,False,PMC3219255.nxml
PMC3334772,21943111,./NCT0318xxxx/NCT03186846.xml:,<PMID>21943111</PMID>,<allocation>Randomized</allocation>,True,PMC3334772.nxml
PMC3563214,23137180,./NCT0275xxxx/NCT02758288.xml:,<PMID>23137180</PMID>,"<citation>Israni AK, Salkowski N, Gustafson S, Snyder JJ, Friedewald JJ, Formica RN, Wang X, Shteyn E, Cherikh W, Stewart D, Samana CJ, Chung A, Hart A, Kasiske BL. New national allocation policy for deceased donor kidneys in the United States and possible effect on patient outcomes. J Am Soc Nephrol. 2014 Aug;25(8):1842-8. doi: 10.1681/ASN.2013070784. Epub 2014 May 15.</citation>",False,PMC3563214.nxml
PMC3985860,24576155,./NCT0275xxxx/NCT02758288.xml:,<PMID>24576155</PMID>,"<citation>Israni AK, Salkowski N, Gustafson S, Snyder JJ, Friedewald JJ, Formica RN, Wang X, Shteyn E, Cherikh W, Stewart D, Samana CJ, Chung A, Hart A, Kasiske BL. New national allocation policy for deceased donor kidneys in the United States and possible effect on patient outcomes. J Am Soc Nephrol. 2014 Aug;25(8):1842-8. doi: 10.1681/ASN.2013070784. Epub 2014 May 15.</citation>",False,PMC3985860.nxml
PMC4316594,25653684,./NCT0275xxxx/NCT02758288.xml:,<PMID>25653684</PMID>,"<citation>Israni AK, Salkowski N, Gustafson S, Snyder JJ, Friedewald JJ, Formica RN, Wang X, Shteyn E, Cherikh W, Stewart D, Samana CJ, Chung A, Hart A, Kasiske BL. New national allocation policy for deceased donor kidneys in the United States and possible effect on patient outcomes. J Am Soc Nephrol. 2014 Aug;25(8):1842-8. doi: 10.1681/ASN.2013070784. Epub 2014 May 15.</citation>",False,PMC4316594.nxml
PMC4331151,25672254,./NCT0275xxxx/NCT02758288.xml:,<PMID>25672254</PMID>,"<citation>Israni AK, Salkowski N, Gustafson S, Snyder JJ, Friedewald JJ, Formica RN, Wang X, Shteyn E, Cherikh W, Stewart D, Samana CJ, Chung A, Hart A, Kasiske BL. New national allocation policy for deceased donor kidneys in the United States and possible effect on patient outcomes. J Am Soc Nephrol. 2014 Aug;25(8):1842-8. doi: 10.1681/ASN.2013070784. Epub 2014 May 15.</citation>",False,PMC4331151.nxml
PMC2997201,20602122,./NCT0336xxxx/NCT03364075.xml:,<PMID>20602122</PMID>,  procedures will remain blinded to study group allocation for the duration of the study.,False,PMC2997201.nxml
PMC3329830,22456864,./NCT0209xxxx/NCT02092051.xml:,<PMID>22456864</PMID>,<allocation>Randomized</allocation>,True,PMC3329830.nxml
PMC3483098,22965294,./NCT0209xxxx/NCT02092051.xml:,<PMID>22965294</PMID>,<allocation>Randomized</allocation>,True,PMC3483098.nxml
PMC3687326,23378621,./NCT0209xxxx/NCT02092051.xml:,<PMID>23378621</PMID>,<allocation>Randomized</allocation>,True,PMC3687326.nxml
PMC1241165,11929730,./NCT0012xxxx/NCT00129987.xml:,<PMID>11929730</PMID>,<allocation>Randomized</allocation>,True,PMC1241165.nxml
PMC2671530,19570247,./NCT0031xxxx/NCT00311948.xml:,<PMID>19570247</PMID>,<allocation>Randomized</allocation>,True,PMC2671530.nxml
PMC3274435,22230384,./NCT0347xxxx/NCT03472508.xml:,<PMID>22230384</PMID>,"  randomized treatment allocation list will be generated using a stratified, blockwise,",False,PMC3274435.nxml
PMC3411819,22880024,./NCT0347xxxx/NCT03472508.xml:,<PMID>22880024</PMID>,"  randomized treatment allocation list will be generated using a stratified, blockwise,",False,PMC3411819.nxml
PMC137304,12225597,./NCT0096xxxx/NCT00966628.xml:,<PMID>12225597</PMID>,<allocation>Randomized</allocation>,True,PMC137304.nxml
PMC4137903,24635578,./NCT0257xxxx/NCT02572115.xml:,<PMID>24635578</PMID>,<allocation>Randomized</allocation>,True,PMC4137903.nxml
PMC161802,12801417,./NCT0182xxxx/NCT01826305.xml:,<PMID>12801417</PMID>,<allocation>Randomized</allocation>,True,PMC161802.nxml
PMC161815,12777182,./NCT0182xxxx/NCT01826305.xml:,<PMID>12777182</PMID>,<allocation>Randomized</allocation>,True,PMC161815.nxml
PMC3420601,22966447,./NCT0176xxxx/NCT01764568.xml:,<PMID>22966447</PMID>,  allocations of subjects.,False,PMC3420601.nxml
PMC2729073,19141433,./NCT0182xxxx/NCT01823120.xml:,<PMID>19141433</PMID>,<allocation>Randomized</allocation>,True,PMC2729073.nxml
PMC521692,15450120,./NCT0258xxxx/NCT02589132.xml:,<PMID>15450120</PMID>,<allocation>Randomized</allocation>,True,PMC521692.nxml
PMC2678996,19371442,./NCT0258xxxx/NCT02589132.xml:,<PMID>19371442</PMID>,<allocation>Randomized</allocation>,True,PMC2678996.nxml
PMC3530862,23304136,./NCT0258xxxx/NCT02589132.xml:,<PMID>23304136</PMID>,<allocation>Randomized</allocation>,True,PMC3530862.nxml
PMC3522661,23251327,./NCT0035xxxx/NCT00351702.xml:,<PMID>23251327</PMID>,<allocation>Randomized</allocation>,True,PMC3522661.nxml
PMC2782981,19940225,./NCT0297xxxx/NCT02974816.xml:,<PMID>19940225</PMID>,<allocation>Randomized</allocation>,True,PMC2782981.nxml
PMC3161305,21788632,./NCT0297xxxx/NCT02974816.xml:,<PMID>21788632</PMID>,<allocation>Randomized</allocation>,True,PMC3161305.nxml
PMC3609540,23468086,./NCT0297xxxx/NCT02974816.xml:,<PMID>23468086</PMID>,<allocation>Randomized</allocation>,True,PMC3609540.nxml
PMC2292424,18297261,./NCT0313xxxx/NCT03137966.xml:,<PMID>18297261</PMID>,<allocation>Randomized</allocation>,True,PMC2292424.nxml
PMC2584119,19033403,./NCT0316xxxx/NCT03161964.xml:,<PMID>19033403</PMID>,<allocation>Randomized</allocation>,True,PMC2584119.nxml
PMC3028361,21270270,./NCT0316xxxx/NCT03161964.xml:,<PMID>21270270</PMID>,<allocation>Randomized</allocation>,True,PMC3028361.nxml
PMC3219955,22013013,./NCT0316xxxx/NCT03161964.xml:,<PMID>22013013</PMID>,<allocation>Randomized</allocation>,True,PMC3219955.nxml
PMC2517068,18651981,./NCT0196xxxx/NCT01964222.xml:,<PMID>18651981</PMID>,<allocation>Randomized</allocation>,True,PMC2517068.nxml
PMC2841102,20181120,./NCT0229xxxx/NCT02299583.xml:,<PMID>20181120</PMID>,  practically possible nor ethically sound to design the allocation of participants in the,False,PMC2841102.nxml
PMC3402147,22893820,./NCT0229xxxx/NCT02299583.xml:,<PMID>22893820</PMID>,  practically possible nor ethically sound to design the allocation of participants in the,False,PMC3402147.nxml
PMC29013,11056723,./NCT0040xxxx/NCT00407147.xml:,<PMID>11056723</PMID>,<allocation>Randomized</allocation>,True,PMC29013.nxml
PMC29047,11056756,./NCT0246xxxx/NCT02469961.xml:,<PMID>11056756</PMID>,<allocation>Randomized</allocation>,True,PMC29047.nxml
PMC3026617,21283652,./NCT0287xxxx/NCT02878837.xml:,<PMID>21283652</PMID>,<allocation>Randomized</allocation>,True,PMC3026617.nxml
PMC3148462,21876972,./NCT0287xxxx/NCT02878837.xml:,<PMID>21876972</PMID>,<allocation>Randomized</allocation>,True,PMC3148462.nxml
PMC3275980,22345953,./NCT0287xxxx/NCT02878837.xml:,<PMID>22345953</PMID>,<allocation>Randomized</allocation>,True,PMC3275980.nxml
PMC29051,11123878,./NCT0129xxxx/NCT01295749.xml:,<PMID>11123878</PMID>,<allocation>Randomized</allocation>,True,PMC29051.nxml
PMC3169584,21931661,./NCT0042xxxx/NCT00428519.xml:,<PMID>21931661</PMID>,<allocation>Randomized</allocation>,True,PMC3169584.nxml
PMC4472318,25915168,./NCT0042xxxx/NCT00428519.xml:,<PMID>25915168</PMID>,<allocation>Randomized</allocation>,True,PMC4472318.nxml
PMC1112584,15860130,./NCT0005xxxx/NCT00051922.xml:,<PMID>15860130</PMID>,<allocation>Non-Randomized</allocation>,False,PMC1112584.nxml
PMC3828889,18318693,./NCT0104xxxx/NCT01041989.xml:,<PMID>18318693</PMID>,<allocation>Randomized</allocation>,True,PMC3828889.nxml
