PMCID,RCT,PMCFILE
PMC509278,False,PMC509278.nxml
PMC514711,False,PMC514711.nxml
PMC516018,False,PMC516018.nxml
PMC522865,False,PMC522865.nxml
PMC523829,False,PMC523829.nxml
PMC526783,False,PMC526783.nxml
PMC539322,False,PMC539322.nxml
PMC539986,False,PMC539986.nxml
PMC540085,False,PMC540085.nxml
PMC544346,False,PMC544346.nxml
PMC544403,False,PMC544403.nxml
PMC548129,False,PMC548129.nxml
PMC548290,False,PMC548290.nxml
PMC549029,False,PMC549029.nxml
PMC549605,False,PMC549605.nxml
PMC554093,False,PMC554093.nxml
PMC1064085,False,PMC1064085.nxml
PMC1064900,False,PMC1064900.nxml
PMC1064901,False,PMC1064901.nxml
PMC1064903,False,PMC1064903.nxml
PMC1065012,False,PMC1065012.nxml
PMC1065093,False,PMC1065093.nxml
PMC1065342,False,PMC1065342.nxml
PMC1067524,False,PMC1067524.nxml
PMC1074351,False,PMC1074351.nxml
PMC1079790,False,PMC1079790.nxml
PMC1082620,False,PMC1082620.nxml
PMC1087214,False,PMC1087214.nxml
PMC1088963,False,PMC1088963.nxml
PMC1110914,False,PMC1110914.nxml
PMC1151654,False,PMC1151654.nxml
PMC1156943,False,PMC1156943.nxml
PMC1160161,False,PMC1160161.nxml
PMC1160164,False,PMC1160164.nxml
PMC1160174,False,PMC1160174.nxml
PMC1160217,False,PMC1160217.nxml
PMC1160238,False,PMC1160238.nxml
PMC1160244,False,PMC1160244.nxml
PMC1160252,False,PMC1160252.nxml
PMC1160572,False,PMC1160572.nxml
PMC1164432,False,PMC1164432.nxml
PMC1174967,False,PMC1174967.nxml
PMC1175048,False,PMC1175048.nxml
PMC1175076,False,PMC1175076.nxml
PMC1175889,False,PMC1175889.nxml
PMC1181624,False,PMC1181624.nxml
PMC1181884,False,PMC1181884.nxml
PMC1196468,False,PMC1196468.nxml
PMC1198263,False,PMC1198263.nxml
PMC1199586,False,PMC1199586.nxml
PMC1215509,False,PMC1215509.nxml
PMC1236801,False,PMC1236801.nxml
PMC1236802,False,PMC1236802.nxml
PMC1236804,False,PMC1236804.nxml
PMC1240055,False,PMC1240055.nxml
PMC1240091,False,PMC1240091.nxml
PMC1240136,False,PMC1240136.nxml
PMC1240233,False,PMC1240233.nxml
PMC1240249,False,PMC1240249.nxml
PMC1240310,False,PMC1240310.nxml
PMC1240366,False,PMC1240366.nxml
PMC1240403,False,PMC1240403.nxml
PMC1240404,False,PMC1240404.nxml
PMC1240436,False,PMC1240436.nxml
PMC1240507,False,PMC1240507.nxml
PMC1240548,False,PMC1240548.nxml
PMC1240553,False,PMC1240553.nxml
PMC1240563,False,PMC1240563.nxml
PMC1240564,False,PMC1240564.nxml
PMC1240565,False,PMC1240565.nxml
PMC1240568,False,PMC1240568.nxml
PMC1240573,False,PMC1240573.nxml
PMC1240621,False,PMC1240621.nxml
PMC1240699,False,PMC1240699.nxml
PMC1240736,False,PMC1240736.nxml
PMC1240801,False,PMC1240801.nxml
PMC1240805,False,PMC1240805.nxml
PMC1240807,False,PMC1240807.nxml
PMC1240846,False,PMC1240846.nxml
PMC1240878,False,PMC1240878.nxml
PMC1240911,False,PMC1240911.nxml
PMC1240914,False,PMC1240914.nxml
PMC1240948,False,PMC1240948.nxml
PMC1240988,False,PMC1240988.nxml
PMC1240995,False,PMC1240995.nxml
PMC1241032,False,PMC1241032.nxml
PMC1241070,False,PMC1241070.nxml
PMC1241074,False,PMC1241074.nxml
PMC1241089,False,PMC1241089.nxml
PMC1241111,False,PMC1241111.nxml
PMC1241131,False,PMC1241131.nxml
PMC1241157,False,PMC1241157.nxml
PMC1241176,False,PMC1241176.nxml
PMC1241206,False,PMC1241206.nxml
PMC1241208,False,PMC1241208.nxml
PMC1241216,False,PMC1241216.nxml
PMC1241218,False,PMC1241218.nxml
PMC1241226,False,PMC1241226.nxml
PMC1241237,False,PMC1241237.nxml
PMC1241284,False,PMC1241284.nxml
PMC1241312,False,PMC1241312.nxml
PMC1241351,False,PMC1241351.nxml
PMC1241355,False,PMC1241355.nxml
PMC1241361,False,PMC1241361.nxml
PMC1241372,False,PMC1241372.nxml
PMC1241381,False,PMC1241381.nxml
PMC1241425,False,PMC1241425.nxml
PMC1241529,False,PMC1241529.nxml
PMC1241554,False,PMC1241554.nxml
PMC1241563,False,PMC1241563.nxml
PMC1241564,False,PMC1241564.nxml
PMC1241571,False,PMC1241571.nxml
PMC1241573,False,PMC1241573.nxml
PMC1241633,False,PMC1241633.nxml
PMC1241688,False,PMC1241688.nxml
PMC1241718,False,PMC1241718.nxml
PMC1241746,False,PMC1241746.nxml
PMC1241756,False,PMC1241756.nxml
PMC1241757,False,PMC1241757.nxml
PMC1241772,False,PMC1241772.nxml
PMC1241796,False,PMC1241796.nxml
PMC1241855,False,PMC1241855.nxml
PMC1242021,False,PMC1242021.nxml
PMC1242055,False,PMC1242055.nxml
PMC1242147,False,PMC1242147.nxml
PMC1242199,False,PMC1242199.nxml
PMC1247671,False,PMC1247671.nxml
PMC1262698,False,PMC1262698.nxml
PMC1275590,False,PMC1275590.nxml
PMC1297548,False,PMC1297548.nxml
PMC1297549,False,PMC1297549.nxml
PMC1297584,False,PMC1297584.nxml
PMC1310606,False,PMC1310606.nxml
PMC1312314,False,PMC1312314.nxml
PMC1322299,False,PMC1322299.nxml
PMC1323319,False,PMC1323319.nxml
PMC1325250,False,PMC1325250.nxml
PMC1345697,False,PMC1345697.nxml
PMC1347374,False,PMC1347374.nxml
PMC1347403,False,PMC1347403.nxml
PMC1347408,False,PMC1347408.nxml
PMC1351393,False,PMC1351393.nxml
PMC1351919,False,PMC1351919.nxml
PMC1356532,False,PMC1356532.nxml
PMC1360649,False,PMC1360649.nxml
PMC1360651,False,PMC1360651.nxml
PMC1373603,False,PMC1373603.nxml
PMC1375226,False,PMC1375226.nxml
PMC1382256,False,PMC1382256.nxml
PMC1388066,False,PMC1388066.nxml
PMC1388067,False,PMC1388067.nxml
PMC1392238,False,PMC1392238.nxml
PMC1395351,False,PMC1395351.nxml
PMC1397810,False,PMC1397810.nxml
PMC1409676,False,PMC1409676.nxml
PMC1410755,False,PMC1410755.nxml
PMC1420395,False,PMC1420395.nxml
PMC1450305,False,PMC1450305.nxml
PMC1455453,False,PMC1455453.nxml
PMC1456992,False,PMC1456992.nxml
PMC1469279,False,PMC1469279.nxml
PMC1469312,False,PMC1469312.nxml
PMC1469346,False,PMC1469346.nxml
PMC1469415,False,PMC1469415.nxml
PMC1469451,False,PMC1469451.nxml
PMC1469515,False,PMC1469515.nxml
PMC1469616,False,PMC1469616.nxml
PMC1469627,False,PMC1469627.nxml
PMC1469632,False,PMC1469632.nxml
PMC1469635,False,PMC1469635.nxml
PMC1469645,False,PMC1469645.nxml
PMC1469654,False,PMC1469654.nxml
PMC1469686,False,PMC1469686.nxml
PMC1469714,False,PMC1469714.nxml
PMC1469804,False,PMC1469804.nxml
PMC1469807,False,PMC1469807.nxml
PMC1469808,False,PMC1469808.nxml
PMC1469819,False,PMC1469819.nxml
PMC1469916,False,PMC1469916.nxml
PMC1469933,False,PMC1469933.nxml
PMC1469938,False,PMC1469938.nxml
PMC1469943,False,PMC1469943.nxml
PMC1469985,False,PMC1469985.nxml
PMC1470036,False,PMC1470036.nxml
PMC1470049,False,PMC1470049.nxml
PMC1470174,False,PMC1470174.nxml
PMC1470203,False,PMC1470203.nxml
PMC1472552,False,PMC1472552.nxml
PMC1474056,False,PMC1474056.nxml
PMC1474266,False,PMC1474266.nxml
PMC1474286,False,PMC1474286.nxml
PMC1474295,False,PMC1474295.nxml
PMC1474322,False,PMC1474322.nxml
PMC1474399,False,PMC1474399.nxml
PMC1474435,False,PMC1474435.nxml
PMC1474436,False,PMC1474436.nxml
PMC1474521,False,PMC1474521.nxml
PMC1474577,False,PMC1474577.nxml
PMC1474586,False,PMC1474586.nxml
PMC1474717,False,PMC1474717.nxml
PMC1474945,False,PMC1474945.nxml
PMC1475029,False,PMC1475029.nxml
PMC1475070,False,PMC1475070.nxml
PMC1475092,False,PMC1475092.nxml
PMC1475121,False,PMC1475121.nxml
PMC1475130,False,PMC1475130.nxml
PMC1475132,False,PMC1475132.nxml
PMC1475137,False,PMC1475137.nxml
PMC1475145,False,PMC1475145.nxml
PMC1475148,False,PMC1475148.nxml
PMC1475176,False,PMC1475176.nxml
PMC1475178,False,PMC1475178.nxml
PMC1475213,False,PMC1475213.nxml
PMC1475254,False,PMC1475254.nxml
PMC1475273,False,PMC1475273.nxml
PMC1475275,False,PMC1475275.nxml
PMC1475276,False,PMC1475276.nxml
PMC1481528,False,PMC1481528.nxml
PMC1481596,False,PMC1481596.nxml
PMC1481644,False,PMC1481644.nxml
PMC1484588,False,PMC1484588.nxml
PMC1488889,False,PMC1488889.nxml
PMC1489187,False,PMC1489187.nxml
PMC1500948,False,PMC1500948.nxml
PMC1513607,False,PMC1513607.nxml
PMC1518823,False,PMC1518823.nxml
PMC1518853,False,PMC1518853.nxml
PMC1518939,False,PMC1518939.nxml
PMC1518948,False,PMC1518948.nxml
PMC1518957,False,PMC1518957.nxml
PMC1518966,False,PMC1518966.nxml
PMC1518970,False,PMC1518970.nxml
PMC1519024,False,PMC1519024.nxml
PMC1519052,False,PMC1519052.nxml
PMC1519167,False,PMC1519167.nxml
PMC1519226,False,PMC1519226.nxml
PMC1519246,False,PMC1519246.nxml
PMC1519258,False,PMC1519258.nxml
PMC1519297,False,PMC1519297.nxml
PMC1519329,False,PMC1519329.nxml
PMC1519368,False,PMC1519368.nxml
PMC1519496,False,PMC1519496.nxml
PMC1519573,False,PMC1519573.nxml
PMC1519592,False,PMC1519592.nxml
PMC1519596,False,PMC1519596.nxml
PMC1519611,False,PMC1519611.nxml
PMC1519612,False,PMC1519612.nxml
PMC1519634,False,PMC1519634.nxml
PMC1519717,False,PMC1519717.nxml
PMC1519819,False,PMC1519819.nxml
PMC1519930,False,PMC1519930.nxml
PMC1519952,False,PMC1519952.nxml
PMC1519959,False,PMC1519959.nxml
PMC1519999,False,PMC1519999.nxml
PMC1521132,False,PMC1521132.nxml
PMC1522191,False,PMC1522191.nxml
PMC1522193,False,PMC1522193.nxml
PMC1533000,False,PMC1533000.nxml
PMC1533008,False,PMC1533008.nxml
PMC1533060,False,PMC1533060.nxml
PMC1533071,False,PMC1533071.nxml
PMC1533083,False,PMC1533083.nxml
PMC1533214,False,PMC1533214.nxml
PMC1533237,False,PMC1533237.nxml
PMC1533276,False,PMC1533276.nxml
PMC1533282,False,PMC1533282.nxml
PMC1533286,False,PMC1533286.nxml
PMC1533346,False,PMC1533346.nxml
PMC1533367,False,PMC1533367.nxml
PMC1533368,False,PMC1533368.nxml
PMC1533411,False,PMC1533411.nxml
PMC1533469,False,PMC1533469.nxml
PMC1533813,False,PMC1533813.nxml
PMC1538807,False,PMC1538807.nxml
PMC1538814,False,PMC1538814.nxml
PMC1538848,False,PMC1538848.nxml
PMC1550835,False,PMC1550835.nxml
PMC1550899,False,PMC1550899.nxml
PMC1550923,False,PMC1550923.nxml
PMC1550965,False,PMC1550965.nxml
PMC1555598,False,PMC1555598.nxml
PMC1557486,False,PMC1557486.nxml
PMC1559652,False,PMC1559652.nxml
PMC1559689,False,PMC1559689.nxml
PMC1562422,False,PMC1562422.nxml
PMC1564155,False,PMC1564155.nxml
PMC1564181,False,PMC1564181.nxml
PMC1566243,False,PMC1566243.nxml
PMC1566250,False,PMC1566250.nxml
PMC1566321,False,PMC1566321.nxml
PMC1566339,False,PMC1566339.nxml
PMC1566376,False,PMC1566376.nxml
PMC1566480,False,PMC1566480.nxml
PMC1566511,False,PMC1566511.nxml
PMC1566515,False,PMC1566515.nxml
PMC1566521,False,PMC1566521.nxml
PMC1566565,False,PMC1566565.nxml
PMC1566595,False,PMC1566595.nxml
PMC1566598,False,PMC1566598.nxml
PMC1566632,False,PMC1566632.nxml
PMC1566643,False,PMC1566643.nxml
PMC1566647,False,PMC1566647.nxml
PMC1566654,False,PMC1566654.nxml
PMC1566663,False,PMC1566663.nxml
PMC1566703,False,PMC1566703.nxml
PMC1566765,False,PMC1566765.nxml
PMC1566842,False,PMC1566842.nxml
PMC1566846,False,PMC1566846.nxml
PMC1566864,False,PMC1566864.nxml
PMC1566873,False,PMC1566873.nxml
PMC1566888,False,PMC1566888.nxml
PMC1566902,False,PMC1566902.nxml
PMC1566938,False,PMC1566938.nxml
PMC1567000,False,PMC1567000.nxml
PMC1567010,False,PMC1567010.nxml
PMC1567014,False,PMC1567014.nxml
PMC1567026,False,PMC1567026.nxml
PMC1567033,False,PMC1567033.nxml
PMC1567088,False,PMC1567088.nxml
PMC1567203,False,PMC1567203.nxml
PMC1567213,False,PMC1567213.nxml
PMC1567220,False,PMC1567220.nxml
PMC1567237,False,PMC1567237.nxml
PMC1567255,False,PMC1567255.nxml
PMC1567396,False,PMC1567396.nxml
PMC1567411,False,PMC1567411.nxml
PMC1567435,False,PMC1567435.nxml
PMC1567587,False,PMC1567587.nxml
PMC1567652,False,PMC1567652.nxml
PMC1567799,False,PMC1567799.nxml
PMC1567805,False,PMC1567805.nxml
PMC1567824,False,PMC1567824.nxml
PMC1567844,False,PMC1567844.nxml
PMC1567942,False,PMC1567942.nxml
PMC1567953,False,PMC1567953.nxml
PMC1567971,False,PMC1567971.nxml
PMC1568101,False,PMC1568101.nxml
PMC1568164,False,PMC1568164.nxml
PMC1568179,False,PMC1568179.nxml
PMC1568184,False,PMC1568184.nxml
PMC1568191,False,PMC1568191.nxml
PMC1568230,False,PMC1568230.nxml
PMC1568240,False,PMC1568240.nxml
PMC1568241,False,PMC1568241.nxml
PMC1568306,False,PMC1568306.nxml
PMC1568354,False,PMC1568354.nxml
PMC1568378,False,PMC1568378.nxml
PMC1568399,False,PMC1568399.nxml
PMC1568408,False,PMC1568408.nxml
PMC1568477,False,PMC1568477.nxml
PMC1568492,False,PMC1568492.nxml
PMC1568553,False,PMC1568553.nxml
PMC1568555,False,PMC1568555.nxml
PMC1568615,False,PMC1568615.nxml
PMC1568617,False,PMC1568617.nxml
PMC1568619,False,PMC1568619.nxml
PMC1568663,False,PMC1568663.nxml
PMC1568678,False,PMC1568678.nxml
PMC1568689,False,PMC1568689.nxml
PMC1568704,False,PMC1568704.nxml
PMC1568728,False,PMC1568728.nxml
PMC1568744,False,PMC1568744.nxml
PMC1568809,False,PMC1568809.nxml
PMC1568828,False,PMC1568828.nxml
PMC1568837,False,PMC1568837.nxml
PMC1568847,False,PMC1568847.nxml
PMC1568867,False,PMC1568867.nxml
PMC1569024,False,PMC1569024.nxml
PMC1569116,False,PMC1569116.nxml
PMC1569123,False,PMC1569123.nxml
PMC1569142,False,PMC1569142.nxml
PMC1569234,False,PMC1569234.nxml
PMC1569279,False,PMC1569279.nxml
PMC1569350,False,PMC1569350.nxml
PMC1569413,False,PMC1569413.nxml
PMC1569424,False,PMC1569424.nxml
PMC1569857,False,PMC1569857.nxml
PMC1574351,False,PMC1574351.nxml
PMC1576331,False,PMC1576331.nxml
PMC1576333,False,PMC1576333.nxml
PMC1576336,False,PMC1576336.nxml
PMC1592583,False,PMC1592583.nxml
PMC1635337,False,PMC1635337.nxml
PMC1636436,False,PMC1636436.nxml
PMC1636491,False,PMC1636491.nxml
PMC1637172,False,PMC1637172.nxml
PMC1637223,False,PMC1637223.nxml
PMC1637338,False,PMC1637338.nxml
PMC1637405,False,PMC1637405.nxml
PMC1637438,False,PMC1637438.nxml
PMC1637444,False,PMC1637444.nxml
PMC1637445,False,PMC1637445.nxml
PMC1637481,False,PMC1637481.nxml
PMC1637490,False,PMC1637490.nxml
PMC1637659,False,PMC1637659.nxml
PMC1637700,False,PMC1637700.nxml
PMC1637757,False,PMC1637757.nxml
PMC1637818,False,PMC1637818.nxml
PMC1637822,False,PMC1637822.nxml
PMC1637919,False,PMC1637919.nxml
PMC1637922,False,PMC1637922.nxml
PMC1637936,False,PMC1637936.nxml
PMC1637958,False,PMC1637958.nxml
PMC1637984,False,PMC1637984.nxml
PMC1647269,False,PMC1647269.nxml
PMC1664609,False,PMC1664609.nxml
PMC1669711,False,PMC1669711.nxml
PMC1669749,False,PMC1669749.nxml
PMC1676024,False,PMC1676024.nxml
PMC1681449,False,PMC1681449.nxml
PMC1693899,False,PMC1693899.nxml
PMC1702532,False,PMC1702532.nxml
PMC1713255,False,PMC1713255.nxml
PMC1747180,False,PMC1747180.nxml
PMC1750979,False,PMC1750979.nxml
PMC1751538,False,PMC1751538.nxml
PMC1761433,False,PMC1761433.nxml
PMC1764011,False,PMC1764011.nxml
PMC1764901,False,PMC1764901.nxml
PMC1779451,False,PMC1779451.nxml
PMC1781423,False,PMC1781423.nxml
PMC1781533,False,PMC1781533.nxml
PMC1781544,False,PMC1781544.nxml
PMC1781582,False,PMC1781582.nxml
PMC1781584,False,PMC1781584.nxml
PMC1781587,False,PMC1781587.nxml
PMC1781615,False,PMC1781615.nxml
PMC1781618,False,PMC1781618.nxml
PMC1781642,False,PMC1781642.nxml
PMC1781652,False,PMC1781652.nxml
PMC1781678,False,PMC1781678.nxml
PMC1781696,False,PMC1781696.nxml
PMC1781773,False,PMC1781773.nxml
PMC1781775,False,PMC1781775.nxml
PMC1781794,False,PMC1781794.nxml
PMC1781836,False,PMC1781836.nxml
PMC1781839,False,PMC1781839.nxml
PMC1781845,False,PMC1781845.nxml
PMC1781846,False,PMC1781846.nxml
PMC1781857,False,PMC1781857.nxml
PMC1784558,False,PMC1784558.nxml
PMC1784578,False,PMC1784578.nxml
PMC1784586,False,PMC1784586.nxml
PMC1784604,False,PMC1784604.nxml
PMC1784614,False,PMC1784614.nxml
PMC1784617,False,PMC1784617.nxml
PMC1784626,False,PMC1784626.nxml
PMC1784628,True,PMC1784628.nxml
PMC1784635,False,PMC1784635.nxml
PMC1784641,False,PMC1784641.nxml
PMC1784648,False,PMC1784648.nxml
PMC1784650,False,PMC1784650.nxml
PMC1784651,False,PMC1784651.nxml
PMC1784662,False,PMC1784662.nxml
PMC1784673,False,PMC1784673.nxml
PMC1784680,False,PMC1784680.nxml
PMC1784684,False,PMC1784684.nxml
PMC1784727,False,PMC1784727.nxml
PMC1784753,False,PMC1784753.nxml
PMC1784769,False,PMC1784769.nxml
PMC1784770,False,PMC1784770.nxml
PMC1784788,False,PMC1784788.nxml
PMC1784811,False,PMC1784811.nxml
PMC1784821,False,PMC1784821.nxml
PMC1794456,False,PMC1794456.nxml
PMC1794555,False,PMC1794555.nxml
PMC1796648,False,PMC1796648.nxml
PMC1797180,False,PMC1797180.nxml
PMC1803013,False,PMC1803013.nxml
PMC1803797,False,PMC1803797.nxml
PMC1804101,False,PMC1804101.nxml
PMC1804300,False,PMC1804300.nxml
PMC1839107,False,PMC1839107.nxml
PMC1847454,False,PMC1847454.nxml
PMC1851379,False,PMC1851379.nxml
PMC1851725,False,PMC1851725.nxml
PMC1851728,False,PMC1851728.nxml
PMC1852261,False,PMC1852261.nxml
PMC1852264,False,PMC1852264.nxml
PMC1852265,False,PMC1852265.nxml
PMC1852271,False,PMC1852271.nxml
PMC1852275,False,PMC1852275.nxml
PMC1852276,False,PMC1852276.nxml
PMC1852277,False,PMC1852277.nxml
PMC1852286,False,PMC1852286.nxml
PMC1852415,False,PMC1852415.nxml
PMC1852571,False,PMC1852571.nxml
PMC1868946,False,PMC1868946.nxml
PMC1876205,False,PMC1876205.nxml
PMC1885851,False,PMC1885851.nxml
PMC1885856,False,PMC1885856.nxml
PMC1885860,False,PMC1885860.nxml
PMC1888831,False,PMC1888831.nxml
PMC1891179,False,PMC1891179.nxml
PMC1891702,False,PMC1891702.nxml
PMC1892540,False,PMC1892540.nxml
PMC1893014,False,PMC1893014.nxml
PMC1894802,False,PMC1894802.nxml
PMC1899228,False,PMC1899228.nxml
PMC1911199,False,PMC1911199.nxml
PMC1914256,False,PMC1914256.nxml
PMC1933166,False,PMC1933166.nxml
PMC1933171,False,PMC1933171.nxml
PMC1933205,False,PMC1933205.nxml
PMC1933217,False,PMC1933217.nxml
PMC1933230,False,PMC1933230.nxml
PMC1936415,False,PMC1936415.nxml
PMC1940283,False,PMC1940283.nxml
PMC1950076,False,PMC1950076.nxml
PMC1965468,False,PMC1965468.nxml
PMC1968158,False,PMC1968158.nxml
PMC1968161,False,PMC1968161.nxml
PMC1968164,False,PMC1968164.nxml
PMC1968190,False,PMC1968190.nxml
PMC1968192,False,PMC1968192.nxml
PMC1968221,False,PMC1968221.nxml
PMC1968241,False,PMC1968241.nxml
PMC1968246,False,PMC1968246.nxml
PMC1968258,False,PMC1968258.nxml
PMC1968264,False,PMC1968264.nxml
PMC1968266,False,PMC1968266.nxml
PMC1968316,False,PMC1968316.nxml
PMC1968329,False,PMC1968329.nxml
PMC1968339,False,PMC1968339.nxml
PMC1968342,False,PMC1968342.nxml
PMC1968345,False,PMC1968345.nxml
PMC1968361,False,PMC1968361.nxml
PMC1968372,False,PMC1968372.nxml
PMC1968425,False,PMC1968425.nxml
PMC1968433,False,PMC1968433.nxml
PMC1968477,False,PMC1968477.nxml
PMC1968480,False,PMC1968480.nxml
PMC1968485,False,PMC1968485.nxml
PMC1968491,False,PMC1968491.nxml
PMC1968497,False,PMC1968497.nxml
PMC1968519,False,PMC1968519.nxml
PMC1968530,False,PMC1968530.nxml
PMC1968532,False,PMC1968532.nxml
PMC1968534,False,PMC1968534.nxml
PMC1968543,False,PMC1968543.nxml
PMC1968549,False,PMC1968549.nxml
PMC1968583,False,PMC1968583.nxml
PMC1968590,False,PMC1968590.nxml
PMC1968601,False,PMC1968601.nxml
PMC1968648,False,PMC1968648.nxml
PMC1968650,False,PMC1968650.nxml
PMC1968663,False,PMC1968663.nxml
PMC1968666,False,PMC1968666.nxml
PMC1968667,False,PMC1968667.nxml
PMC1968682,False,PMC1968682.nxml
PMC1968703,False,PMC1968703.nxml
PMC1968712,False,PMC1968712.nxml
PMC1968747,False,PMC1968747.nxml
PMC1968750,False,PMC1968750.nxml
PMC1968769,False,PMC1968769.nxml
PMC1968778,False,PMC1968778.nxml
PMC1968838,False,PMC1968838.nxml
PMC1968847,False,PMC1968847.nxml
PMC1968856,False,PMC1968856.nxml
PMC1968871,False,PMC1968871.nxml
PMC1968874,False,PMC1968874.nxml
PMC1968886,False,PMC1968886.nxml
PMC1968892,False,PMC1968892.nxml
PMC1971286,False,PMC1971286.nxml
PMC1971298,False,PMC1971298.nxml
PMC1971307,False,PMC1971307.nxml
PMC1971320,False,PMC1971320.nxml
PMC1971335,False,PMC1971335.nxml
PMC1971338,False,PMC1971338.nxml
PMC1971344,False,PMC1971344.nxml
PMC1971355,False,PMC1971355.nxml
PMC1971358,False,PMC1971358.nxml
PMC1971397,False,PMC1971397.nxml
PMC1971450,False,PMC1971450.nxml
PMC1971464,False,PMC1971464.nxml
PMC1971468,False,PMC1971468.nxml
PMC1971496,False,PMC1971496.nxml
PMC1971505,False,PMC1971505.nxml
PMC1971506,False,PMC1971506.nxml
PMC1971530,False,PMC1971530.nxml
PMC1971556,False,PMC1971556.nxml
PMC1971570,False,PMC1971570.nxml
PMC1971590,False,PMC1971590.nxml
PMC1971602,False,PMC1971602.nxml
PMC1971610,False,PMC1971610.nxml
PMC1971643,False,PMC1971643.nxml
PMC1971657,False,PMC1971657.nxml
PMC1971664,False,PMC1971664.nxml
PMC1971666,False,PMC1971666.nxml
PMC1971735,False,PMC1971735.nxml
PMC1971741,False,PMC1971741.nxml
PMC1971749,False,PMC1971749.nxml
PMC1971772,False,PMC1971772.nxml
PMC1971781,False,PMC1971781.nxml
PMC1971799,False,PMC1971799.nxml
PMC1971801,False,PMC1971801.nxml
PMC1971867,False,PMC1971867.nxml
PMC1972350,False,PMC1972350.nxml
PMC1972364,False,PMC1972364.nxml
PMC1972381,False,PMC1972381.nxml
PMC1972548,True,PMC1972548.nxml
PMC1976404,False,PMC1976404.nxml
PMC1976686,False,PMC1976686.nxml
PMC1976751,False,PMC1976751.nxml
PMC1976785,False,PMC1976785.nxml
PMC1976798,False,PMC1976798.nxml
PMC1976801,False,PMC1976801.nxml
PMC1976838,False,PMC1976838.nxml
PMC1976875,False,PMC1976875.nxml
PMC1976938,False,PMC1976938.nxml
PMC1976954,False,PMC1976954.nxml
PMC1977064,False,PMC1977064.nxml
PMC1977099,False,PMC1977099.nxml
PMC1977144,False,PMC1977144.nxml
PMC1977187,False,PMC1977187.nxml
PMC1977197,False,PMC1977197.nxml
PMC1977236,False,PMC1977236.nxml
PMC1977274,False,PMC1977274.nxml
PMC1977281,False,PMC1977281.nxml
PMC1977297,False,PMC1977297.nxml
PMC1977304,False,PMC1977304.nxml
PMC1977331,False,PMC1977331.nxml
PMC1977342,False,PMC1977342.nxml
PMC1977354,False,PMC1977354.nxml
PMC1977379,False,PMC1977379.nxml
PMC1977394,False,PMC1977394.nxml
PMC1977399,False,PMC1977399.nxml
PMC1977414,False,PMC1977414.nxml
PMC1977419,False,PMC1977419.nxml
PMC1977438,False,PMC1977438.nxml
